video_number,accident_frame,scene_complexity,dense_caption,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q1_ans_wrong3,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q2_ans_wrong3,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q3_ans_wrong3,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q4_ans_wrong3,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q5_ans_wrong3,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2,q6_ans_wrong3
426,30,7,,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daytime conditions with good visibility and a dry road.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,"A clearly marked pedestrian crosswalk on a multi-lane Scenic area roads, with lawns and vegetation",,,,What is the configuration of the road in the direction of the camera vehicle's travel?,Road Configuration,"At least two lanes, with the striking car in the oppsing lane and the camera car in the right.",,,,What type of accident is depicted in the video?,Accident Type,A vehicle-pedestrian collision at a marked crosswalk.,,,,What was the primary cause of this accident?,Accident Cause,The driver of the black car failed to yield the right-of-way to pedestrians in a marked crosswalk.,,,,How could the traffic accident participants have most effectively prevented this collision?,Accident Prevention,"The oncoming black car scanns the road ahead, identifies the pedestrians in the crosswalk, and stops to yield.",,,
427,41,7,,"Based on the video, what are the environmental conditions at the time of the incident?",Weather & Light,Daylight with clear skies and good visibility.,,,,Which of the following accurately describes the traffic environment shown in the video just before the collision?,Traffic Environment,The scene is a busy urban intersection.,,,,What is the configuration of the intersection where the accident occurs?,Road Configuration,"A busy, signalized intersection with other vehicles, a trolleybus, and pedestrian crossing signs.",,,,How can the collision between the ego-vehicle and the dark SUV be classified?,Accident Type,"A T-bone (or side-impact) collision, where the front of the ego-vehicle struck the side of the SUV.",,,,What was the primary cause of this accident?,Accident Cause,The dark SUV speeded through the intersection and left the original lane.,,,,What critical action by the driver of the dark SUV could have most effectively prevented this collision?,Accident Prevention,The dark SUV observes carefully when passing through intersections to avoid fatigue driving and distraction.,,,
432,43,6,,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,"Clear skies and bright daylight, with a dry road surface.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"Highway in a rural area, with billboard on the roadside.",,,,What is the road configuration at the location of the collision?,Road Configuration,"A wide, downhill multi-lane highway with at least three lanes travelling in the same direction, separated by clear lane markings.",,,,What type of collision sequence is depicted in the video?,Accident Type,Side collision and rear-end collision caused by an out-of-control silver vehicle,,,,What was the primary action that initiated this multi-vehicle accident?,Accident Cause,"The car in front braked suddenly, and the silver Honda subconsciously turned left to avoid the car, causing it to lose control and sway from side to side.",,,,Which action by the driver have most effectively prevented this accident?,Accident Prevention,The silver car in front maintains a steady speed and avoids sudden braking.,,,
440,30,7,,"Based on the video, what were the environmental and road conditions at the time of the incident?",Weather & Light,"Clear, sunny daylight with a dry road surface.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A multi-lane highway in a suburban area, with an overpass passing above.",,,,What is the configuration of the road where the collision occurs?,Road Configuration,A busy one-way highway with at least three lanes for traffic moving in the same direction.,,,,What is the specific type of collision that initiates the accident?,Accident Type,"No collision, the vehicle ahead has a flat fell off.",,,,What was the primary contributing factor leading to this collision?,Accident Cause,A mechanical failure of the front pickup truck.,,,,How could the driver have most effectively prevented this accident?,Accident Prevention,The former pickup track's driver checks for mechanical failures before going on the road and avoids long driving times,,,
462,45,7,,"Based on the visual information in the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,The incident took place during dusk with clear weather and general visibility.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,The scene is an intersection on a multi-lane suburban wide road.,,,,What was the road configuration and traffic control situation for the ego-vehicle just before the crash?,Road Configuration,The ego-vehicle was traveling straight through a signalized intersection on a yelloe light.,,,,How can the type of collision shown in the video be most accurately classified?,Accident Type,"A T-bone (or side-impact) collision, where the front of one vehicle struck the side of another.",,,,What was the primary and most direct cause of this accident?,Accident Cause,"The white minivan made an unprotected left turn, failing to yield the right-of-way to the oncoming ego-vehicle.",,,,What critical action should the driver taken to prevent this collision?,Accident Prevention,The driver of the white minivan should have yielded to oncoming traffic and waited for a safe gap before making the turn.,,,
464,37,7,,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daylight with dry road conditions.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban downtown area with multi-story buildings.,,,,What is the configuration of the road at the accident location?,Road Configuration,"A narrow, one-way, multi-lane paved road with a slight curve.",,,,What type of accident is depicted in the video?,Accident Type,A side-impact collision where the motorcycle strikes the car in front.,,,,What was the primary contributing factor to this collision?,Accident Cause,"The motorcycle was speeding in the intersection, leaving insufficient reaction time.",,,,What key action could have most effectively prevented this accident?,Accident Prevention,The motorcycle should slow down when turning and passing through intersections.,,,
465,,,,"Based on the video, what were the prevailing weather and lighting conditions when the incident occurred?",Weather & Light,The incident occurred during daylight hours with overcast skies and a dry road surface.,"The incident happened during a heavy downpour, resulting in wet roads and poor visibility.","The incident took place at night on an unlit section of the road, making it difficult to judge distances.","The scene was obscured by dense fog, significantly reducing the sight distance for all drivers.",Which of the following best describes the traffic environment where the collision took place?,Traffic Environment,"On an urban multi-lane thoroughfare with moderate traffic, approaching a signalized intersection.","On a winding, two-lane rural road with very light traffic.",In a busy shopping mall parking lot with vehicles moving at very low speeds.,On a high-speed expressway during a major traffic jam.,What is the configuration of the road where the accident happened?,Road Configuration,"A straight, paved road with at least three lanes for traffic moving in the same direction.",A sharp curve on a two-way street with only one lane in each direction.,A multi-lane roundabout with vehicles entering and exiting from various points.,"A one-lane bridge undergoing construction, with temporary traffic signals.",What type of collision is shown in the video?,Accident Type,A rear-end collision where the ego vehicle struck the vehicle ahead due to insufficient following distance.,A rear-end collision where the white SUV struck a stopped vehicle.,A head-on collision between two vehicles traveling in opposite directions.,A T-bone collision occurring in the middle of an intersection.,What was the primary and most direct cause of this accident?,Accident Cause,"The ego vehicle was following too closely and failed to maintain a safe following distance, causing a rear-end collision.","The driver of the dark sedan performed an abrupt, unsignaled lane change into the path of the white SUV.","The white SUV suddenly swerved to the left without reason, striking the dark sedan.","The white box truck in front of the dark sedan braked unexpectedly, causing a chain reaction.",Which action by the driver of the dark sedan would have been most effective in preventing this collision?,Accident Prevention,"The ego vehicle driver should have maintained a proper following distance from the vehicle ahead, allowing enough space to brake safely.",Speeding up to quickly pass the truck on the right before it slowed down.,Immediately steering onto the shoulder to avoid the slowing traffic.,Honking loudly to force the white SUV to slow down and create a gap.
466,,,,"Based on the visual evidence, what were the weather and lighting conditions at the time of the accident?",Weather & Light,"Daytime with wet road conditions, likely after rain.",Bright sunny day with dry road surfaces.,"Nighttime during a heavy downpour, with poor visibility.",Early morning with dense fog and limited light.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A signalized intersection on a multi-lane urban thoroughfare.,A rural two-lane road without any traffic signals.,A high-speed expressway interchange.,A quiet residential street controlled by stop signs.,What is the configuration of the road at the location of the incident?,Road Configuration,"A cross-intersection controlled by traffic signals, with a central divider separating opposing lanes.",A roundabout controlling traffic flow from multiple directions.,A T-junction where one road ends and another continues.,"An intersection with a dedicated, protected green arrow for left-turning vehicles.",What type of collision occurred between the white SUV and the gold sedan?,Accident Type,"A side-impact (T-bone) collision, where the front of one vehicle strikes the side of another.","A rear-end collision, where the front of one vehicle strikes the rear of another.","A head-on collision, where the front ends of two vehicles strike each other.","A sideswipe collision, where the sides of two vehicles travelling in the same or opposite directions make contact.",What was the primary cause of this accident?,Accident Cause,The gold sedan failed to yield the right-of-way to oncoming traffic while turning left.,The white SUV was speeding excessively through the intersection.,"The traffic signal at the intersection malfunctioned, causing confusion.",The white SUV lost control primarily due to the wet road surface before the intersection.,How could this collision have most effectively been prevented?,Accident Prevention,The driver of the gold car should have waited for a clear and safe gap in oncoming traffic before starting the left turn.,"The driver of the white SUV should have yielded to the turning gold car, as a defensive measure.",Both drivers should have stopped and waited for the traffic light to turn yellow before proceeding.,The city should have installed a roundabout instead of traffic lights at this intersection.
469,,,,"Based on the video, what are the environmental conditions at the time of the incident?",Weather & Light,"Daytime, with clear skies and bright sunlight.",,,,Which of the following best describes the environment where the accident occurs?,Traffic Environment,"A multi-lane urban main road with moderate, free-flowing traffic.",,,,What is the configuration of the road where the collision occurs?,Road Configuration,"A straight, multi-lane road with a wide median and a side road joining from the right.",,,,How would you classify the type of accident that occurs in the video?,Accident Type,A head-on collision from the recording car and the car abruptly cutting from the right side road.,,,,"What was the primary and direct cause of this accident, based on traffic rules?",Accident Cause,The trailer detached from its towing vehicle due to a mechanical failure or improper connection.,,,,Which of the following actions could have most effectively prevented the injury?,Accident Prevention,he driver of the towing vehicle conducting a thorough pre-trip inspection to ensure the trailer hitch is securely locked and safety chains are attached.,,,
474,41,6,,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Clear weather with good visibility during dawn or dusk.,,,,How would you best describe the traffic environment shown in the video?,Traffic Environment,A suburban highway.,,,,What is the configuration of the road where the incident occurs?,Road Configuration,"Heavy but continuously flowing traffic on a multi-lane, straight urban highway with clear lane markings.",,,,What type of collision is about to occur in the video?,Accident Type,"Rollover caused by a side impact, the white car cut in, and struck the right behind side of the front black vehicle then rollover.",,,,What is the primary and most direct action that leads to this collision?,Accident Cause,The white vehicle made an agressive and sudden lane change without proper observation.,,,,What single action would have been most effective in preventing this accident?,Accident Prevention,The white vehicle thoroughly checks mirrors and the vehicle's blind spot before changing lanes.,,,
475,,,,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with cloudy skies and a dry road surface.,"Dusk with clear skies, causing sun glare for drivers.","Daytime, but visibility was poor due to heavy fog.","Nighttime with wet roads from recent rain, reflecting streetlights.",How would you describe the traffic environment shown in the video just before the collision?,Traffic Environment,A multi-lane highway with moderate traffic flow and relatively high speeds.,A congested urban street during rush hour with stop-and-go traffic.,A rural two-lane road with very light traffic and low speeds.,An empty highway late at night with almost no other vehicles present.,What is the configuration of the road where the incident occurred?,Road Configuration,A multi-lane highway with solid and dashed white lane markings.,A two-lane undivided road with a yellow centerline.,A one-way street in a city with parallel parking on the side.,An intersection controlled by traffic lights with dedicated turning lanes.,What type of collision initiated the accident sequence?,Accident Type,A chain rear-end collision where the ego vehicle struck the vehicle ahead due to excessive speed and insufficient following distance.,"A rear-end collision, where the white car braked suddenly and was hit from behind.",A head-on collision resulting from one vehicle crossing into oncoming traffic.,"A single-vehicle accident, where the white car lost control due to a tire blowout.",What was the primary cause of the initial collision between the gray SUV and the white convertible?,Accident Cause,"The ego vehicle was following too closely and driving too fast, failing to maintain a safe distance.",The gray SUV made an unsafe and abrupt lane change without sufficient clearance.,The white convertible was speeding and weaving between lanes.,A mechanical failure in the gray SUV's steering system.,How could the driver of the gray SUV have most effectively prevented this accident?,Accident Prevention,By maintaining a safe following distance and appropriate speed on the highway.,By driving faster to get ahead of the white convertible before changing lanes.,By honking to warn the white convertible of their intention to change lanes.,By maintaining a greater following distance from the vehicle in front of them.
487,39,6,,"Based on the visual evidence in the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"Daytime with clear skies and bright sunlight, providing excellent visibility.",,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A rural highway surrounded by trees and vegetation.,,,,How is the intersection where the accident happened configured?,Road Configuration,"A Simple structure, narrow intersection with four ways, two lanes each way.",,,,What specific type of collision is depicted in the video?,Accident Type,"A side-impact (T-bone) collision, where the front of the ego-car hit the side of the MPV.",,,,What was the primary and most direct cause of this collision?,Accident Cause,"he white MPV failed to yield the right-of-way to the oncoming motorcycle, which had a green light.",,,,Which of the following actions by the participants would have been the most effective measure to prevent this accident?,Accident Prevention,The white MPV remains stopped and waits for the motorcycle to pass before entering the intersection.,,,
490,,,,"Based on the video, what were the weather and lighting conditions at the time of the collision?",Weather & Light,"Daytime, with clear skies and good visibility.","Dusk, with the setting sun causing significant glare for drivers.","Overcast with light rain, causing wet road surfaces.","Nighttime, with illumination provided primarily by streetlights.",Which of the following best describes the environment where the accident took place?,Traffic Environment,A suburban or main arterial road with trees and properties alongside.,A controlled-access highway with concrete barriers and high speeds.,A dense urban downtown area with tall buildings and heavy pedestrian traffic.,A rural two-lane road with no shoulder and surrounded by open fields.,What is the configuration of the road where the incident occurred?,Road Configuration,"A multi-lane, two-way road separated by a double yellow line.",A one-way street with multiple lanes of traffic moving in the same direction.,A T-intersection controlled by a traffic light.,"A two-lane undivided road, with one lane for each direction.",How would you classify the type of collision shown in the video?,Accident Type,A rear-end collision followed by a loss-of-control swerve into the oncoming lane.,A side-impact (sideswipe) collision initiated by an unsafe lane change.,A head-on collision where the silver sedan crossed into oncoming traffic.,A loss-of-control incident where the pickup truck spun out and hit the sedan.,What was the primary and most direct cause of this accident?,Accident Cause,"The ego vehicle failed to maintain a safe following distance, causing a rear-end collision, then swerved into the oncoming lane.",The white pickup truck was traveling at an excessive speed for the conditions.,"The white SUV in front of the sedan braked suddenly, forcing the sedan to swerve.",A mechanical failure caused the sedan to lose control.,Which of the following actions by the silver sedan's driver would have been most critical in preventing this collision?,Accident Prevention,Maintaining a safe following distance from the vehicle ahead and driving at a speed that allows adequate braking.,Maintaining a greater following distance from the white SUV ahead.,Accelerating rapidly to pass the white SUV before the pickup truck approached.,Braking hard instead of attempting to change lanes.
491,31,6,,"Based on the visual evidence in the video, what were the prevailing weather and road conditions?",Weather & Light,"Overcast daytime, general lighting conditions with wet road surfaces.",,,,Which of the following best describes the traffic environment where the incident occurred?,Traffic Environment,A multi-lane urban expressway with vehicles traveling at high speed.,,,,What is the configuration of the road shown in the video?,Road Configuration,"A one-way road with multiple lanes, separated from the opposite lane by the central median strip.",,,,What type of collision is recorded by the dashcam?,Accident Type,A sideswipe collision with a vehicle in the adjacent lane.,,,,What was the primary factor that led to the crash?,Accident Cause,The SUV that changed lanes made direct contact with the dashcam vehicle.,,,,Which action by the drivers would have most effectively prevented this collision?,Accident Prevention,The light-colored car should maintain a greater following distance from the white car ahead.,,,
524,,,,"Based on the video, what are the environmental conditions at the time of the incident?",Weather & Light,"Daytime and overcast, with a wet road surface covered in snow and slush.",,,,What key feature of the traffic environment is noticable in the video?,Traffic Environment,At a multi-lane urban intersection with other vehicles present.,,,,What is the physical layout of the location where the collision occurs?,Road Configuration,"A?multi-lane intersection without traffic lights, where vehicles can proceed straight or make turns.",,,,Which statement best describes the type of collision that occurs?,Accident Type,A sideswipe collision occurred while two cars rushed into the intersection trying to avoid each other ,,,,What caused the  incident?,Accident Cause,"The white SUV was in the blind spot of the dark sedan, causing a sudden crash",,,,What action by the driver of the at-fault vehicle could have most effectively prevented this collision?,Accident Prevention,Both vehicle should significantly reducing speed before entering the intersection to maintain grip on the slippery surface.,,,
529,,,,"Based on the video, what are the weather and road conditions at the time of the incident?",Weather & Light,Overcast sky during the daytime with wet road surfaces.,Bright and sunny day with dry road surfaces.,Nighttime during a heavy snowstorm with icy roads.,Dawn with dense fog and partial road dampness.,Which of the following best describes the environment where the accident occurred?,Traffic Environment,An urban multi-lane main road with commercial buildings and overhead trolleybus wires.,A rural two-lane road surrounded by farmland.,A high-speed expressway with multiple lanes and sound barriers.,A residential neighborhood street with parked cars and houses.,What is the configuration of the road on which the ego vehicle is traveling?,Road Configuration,A multi-lane road with at least two lanes for traffic moving in the same direction.,"A single-lane, two-way street.",A one-way street with only one designated lane for traffic.,A merging lane onto a highway.,How would you classify the type of collision shown in the video?,Accident Type,A side-impact collision where the ego vehicle's front struck the side of the white van.,A rear-end collision where the ego vehicle struck the car directly ahead.,A head-on collision with a vehicle from the oncoming traffic lane.,A single-vehicle accident where the ego vehicle lost control and spun out.,What was the primary and most direct cause of this accident?,Accident Cause,"The white van made a sudden, unsignaled sharp turn to the right from an adjacent lane, directly into the ego vehicle's path.",The ego vehicle was speeding excessively and could not stop in time.,The wet road surface caused the ego vehicle to hydroplane and lose control.,"The dark car in front of the ego vehicle braked unexpectedly, forcing the ego vehicle to swerve.",What critical action by the van driver could have most likely prevented this collision?,Accident Prevention,"The van driver should have checked their mirrors and blind spot, and used their turn signal before initiating the maneuver.",The ego vehicle driver should have honked their horn as soon as the van started to move.,Both drivers should have maintained a much greater following distance from the cars ahead.,The van driver should have sped up significantly to get ahead of the ego vehicle before turning.
572,,,,"Based on the video, what are the weather and light conditions at the time of the incident?",Weather & Light,"It is daytime with clear, sunny/partly cloudy skies and a dry road surface.","It is nighttime, and the road is wet from recent rain.","The incident occurs at dawn with heavy fog, severely limiting visibility.",Strong sunlight is causing significant glare for the drivers involved.,Which of the following best describes the traffic environment where the collision takes place?,Traffic Environment,An urban multi-lane main road flanked by large apartment buildings with moderate traffic flow.,A rural highway with very light traffic and open fields on both sides.,A congested downtown street with heavy pedestrian traffic and frequent intersections.,A residential side street with parked cars and a low speed limit.,What is the configuration of the road shown in the video?,Road Configuration,A multi-lane road with a central green median separating opposing lanes of traffic.,A two-lane undivided road where the collision happens on a sharp curve.,A major intersection controlled by traffic lights where multiple roads converge.,A one-way street with a single lane for traffic.,What type of accident is depicted in the video?,Accident Type,A failure-to-yield collision where a vehicle turning from a side road merged without waiting for main road traffic.,A sideswipe/lane change collision resulting from the silver car cutting abruptly into the adjacent lane.,A T-bone collision at an intersection where one car ran a red light.,A head-on collision between two vehicles traveling in opposite directions.,What was the primary and direct cause of this collision?,Accident Cause,The silver car turned to merge into the main road from a side road without yielding to vehicles already on the main road.,The dark SUV was speeding and attempting an illegal overtake from the right side.,A mechanical failure in the silver car's steering system caused it to swerve uncontrollably.,The driver of the dark SUV was distracted and failed to react to the silver car's lane change.,How could this accident have been most effectively prevented?,Accident Prevention,"The silver car driver should have stopped at the junction, checked for traffic, and waited for a safe gap before merging.",The driver of the dark SUV should have anticipated the lane change and slowed down preemptively.,Both vehicles should have been driving in the rightmost lane to avoid conflict.,The local authorities should have installed speed bumps on this section of the road.
578,,,,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daytime conditions with a dry road surface.,"Dusk with low light, requiring headlights for visibility.",Bright sunlight causing significant glare that obscured the driver's view.,Overcast skies with wet roads from recent rainfall.,Which statement best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane highway with moderate traffic moving at a relatively high speed.,A low-speed residential street with frequent intersections.,A congested stop-and-go traffic jam during rush hour.,A rural two-lane road with very light traffic.,What specific road feature is the primary location where the incident unfolds?,Road Configuration,An exit ramp diverging from the main travel lanes.,A sharp curve on the main highway.,A traffic circle (roundabout) connecting multiple roads.,A T-intersection controlled by traffic lights.,What type of collision ultimately occurred involving the dashcam vehicle?,Accident Type,"A single-vehicle, run-off-road collision with a fixed object.",A rear-end collision where the dashcam vehicle struck the dark hatchback.,A sideswipe collision with the dark hatchback during the lane change.,A multi-vehicle pile-up involving the two cars and a third vehicle.,What was the primary action that initiated the chain of events leading to the crash?,Accident Cause,The ego vehicle was traveling at excessive speed and failed to maintain a proper following distance.,"The dark vehicle ahead made a sudden, aggressive, and unsignaled lane change to reach the exit.","The dashcam vehicle experienced a sudden tire blowout, causing a loss of control.","A third vehicle, not clearly seen, forced the dark hatchback to swerve unexpectedly.",What is the most critical preventative measure the driver of the dark hatchback should have taken to avoid this incident?,Accident Prevention,The ego vehicle driver should have reduced speed and maintained a safe following distance.,Braking abruptly in their lane before attempting to turn.,Speeding up significantly to create more space before exiting.,Relying on the dashcam vehicle's driver to yield the right-of-way.
580,,,,"Based on the video, what are the prevailing weather and light conditions at the time of the accident?",Weather & Light,Daytime with cloudy/overcast skies and a dry road surface.,,,,Which of the following best characterizes the traffic environment shown in the video?,Traffic Environment,An urban multi-lane main road with moderate traffic flow.,,,,What is the configuration and condition of the road surface visible in the video?,Road Configuration,An unsiganized intersection with traffic merging from the road in the left,,,,What type of accident is depicted in the video?,Accident Type,A head-on collision after an oncoming vehicle lost control and crossed the centerline.,,,,What was the direct and primary cause of this accident?,Accident Cause,The dark car driver made an incorrect evasive maneuver by swerving into the oncoming lane.,,,,How could the driver have most effectively prevented this accident?,Accident Prevention,The dark car should maintain a safe following distance and apply emergency brakes in a straight line within their lane.,,,
595,,,,"Based on the video, what are the environmental conditions during the accident?",Weather & Light,Daytime with cloudy or overcast skies and a dry road surface.,,,,Which of the following best describes the traffic environment when the collision occurred?,Traffic Environment,"Moderate, free-flowing traffic on a multi-lane highway, in rural area.",,,,What is the physical layout of the road where the accident happened?,Road Configuration,A curved one-way highway with at least three lanes and a central concrete barrier.,,,,What type of collision is depicted in the video?,Accident Type,A sideswipe collision caused by the white SUV changing into an occupied lane.,,,,What was the primary initiating cause of this accident?,Accident Cause,The driver of the white SUV failed to ensure the adjacent lane was clear before initiating a lane change.,,,,What crucial action could have taken to prevent this accident?,Accident Prevention,"The white SUV should thoroughly check their mirrors and blind spot to confirm the adjacent lane was clear.
",,,
600,,,,What were the primary weather and lighting conditions that posed a significant hazard at the time of the accident?,Weather & Light,"Daytime with overcast skies and light rain, resulting in a wet and reflective road surface.",,,,,Traffic Environment,"A busy, multi-lane suburban arterial road or expressway with moderate traffic flow.",,,,What is the configuration of the intersection as the ego-vehicle approaches it?,Road Configuration,"A multi-lane roadway with at least three lanes for the same direction of travel, a clear line marking the median.",,,,What is the final type of collision that occurs in the video?,Accident Type,A series of T-bone collisions resulting from an aggressive and improper lane change by the dark car in the opposite.,,,,What was the primary trigger for the chain of events leading to the collision?,Accident Cause,"The driver of the black car made an unexpected and sudden turning to the left, cutting off the traffic.",,,,What action could have most effectively prevented this collision?,Accident Prevention,,,,
611,,,,"Based on the visual evidence, what are the weather and lighting conditions at the time of the incident?",Weather & Light,"Daytime with overcast skies and light rain, resulting in a wet and reflective road surface.","A bright, sunny afternoon with dry road conditions.","Nighttime during a heavy downpour, leading to extremely poor visibility.","Dawn with dense fog, severely limiting the driver's line of sight.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A busy, multi-lane urban arterial road or expressway with moderate to heavy traffic flow.","A quiet, two-lane rural road with sparse traffic.",A residential street with low speed limits and pedestrian crossings.,A congested construction zone with lane closures and temporary barriers.,What is the configuration of the road in the direction of travel?,Road Configuration,A multi-lane roadway with at least three lanes for the same direction of travel.,A two-way road with a single lane in each direction.,A one-way street with two lanes and a dedicated bus lane.,An undivided highway with a shared center lane for turning.,What type of collision occurs between the white SUV and the black sedan?,Accident Type,A collision caused by the white SUV making an improper turn across the ego vehicle's lane.,A rear-end collision where the white SUV struck the back of the black sedan.,A head-on collision involving vehicles traveling in opposite directions.,A T-bone collision at an intersection.,What is the primary and direct cause of this accident?,Accident Cause,The driver of the white SUV made a sudden turn across multiple lanes without yielding to through traffic.,The driver of the black sedan made an unexpected and sudden lane change to the left.,The wet road surface caused the black sedan to hydroplane and lose control.,"The dashcam vehicle braked suddenly, causing a chain reaction.",Which action by the driver of the white SUV would have been most effective in preventing this crash?,Accident Prevention,The white SUV driver should have checked for through traffic and waited for a safe gap before executing the turn.,Driving at a slower speed in the far-left lane.,Honking the horn continuously to warn other drivers.,Turning on the hazard lights to signal an emergency maneuver.
614,,,,"Based on the video, what are the prevailing weather and light conditions?",Weather & Light,Daytime with overcast skies and good visibility.,Nighttime with clear skies and street lighting.,Daytime with heavy rain and poor visibility.,"Dawn with dense fog, severely impairing vision.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,An urban area with commercial buildings and moderate traffic.,A rural highway with sparse traffic.,A residential street with numerous parked cars and low speed limits.,A heavily congested downtown intersection during rush hour.,What is the configuration of the road where the collision occurs?,Road Configuration,A multi-lane road with tram tracks running down the middle.,A two-lane road with a central physical median.,A highway on-ramp with a dedicated merging lane.,A one-way street with designated bicycle lanes on the side.,What type of accident is depicted in the video?,Accident Type,A sideswipe collision caused by an improper lane change.,A rear-end collision where the ego-vehicle failed to stop in time.,A head-on collision with a vehicle from the opposing traffic.,A T-bone collision that occurred at an intersection.,What was the primary cause of this accident?,Accident Cause,The white SUV made a sudden and unsafe lane change without checking for other vehicles.,The ego-vehicle was speeding and failed to yield to the merging SUV.,"The road surface was wet and slippery, causing the white SUV to lose control.","A pedestrian suddenly ran onto the road, forcing the white SUV to swerve.",How could the driver of the white SUV have most effectively prevented this collision?,Accident Prevention,"By checking mirrors and blind spots, signaling, and ensuring the lane was clear before merging.",By accelerating rapidly to get ahead of the ego-vehicle before changing lanes.,By honking their horn continuously to warn the ego-vehicle of their intention.,By staying in their lane until the truck in the far-left lane had passed.
617,,,,"Based on the video, what are the prevailing weather and light conditions?",Weather & Light,"Daytime, overcast sky, with significant snow and ice on the ground.",Nighttime during a heavy blizzard with poor visibility.,"A clear, sunny day with dry road surfaces.","Dawn with dense fog, making the road wet but not icy.",Which statement best describes the traffic environment just before the white SUV loses control?,Traffic Environment,Light to moderate traffic with a row of stationary vehicles parked on the right shoulder.,"Heavy, congested traffic moving slowly in all lanes.",The road is completely empty except for the white SUV and the camera vehicle.,The white SUV is navigating through a clearly marked construction zone on the right.,What is the configuration of the road where the accident occurs?,Road Configuration,A multi-lane highway with at least three lanes in the same direction.,A two-lane road with one lane for each direction of traffic.,A city street with multiple intersections and cross-traffic.,"A narrow, single-lane ramp leading to a bridge.",What type of accident does the white SUV experience?,Accident Type,Loss of control followed by a side-impact collision with a parked vehicle.,A rear-end collision with a vehicle that braked suddenly.,A head-on collision with a vehicle from the opposite direction.,A single-vehicle rollover accident caused by hitting a guardrail.,"Based on the vehicle's dynamics and the environment, what is the most likely primary cause of this accident?",Accident Cause,Driving at a speed unsafe for the icy and snowy road conditions.,A sudden tire blowout on the rear wheel causing instability.,The SUV was forced to swerve to avoid another car changing lanes abruptly.,"The driver experienced a sudden medical emergency, losing consciousness.",What would have been the most effective measure for the driver of the white SUV to prevent this crash?,Accident Prevention,Significantly reducing speed to match the slippery road conditions.,Steering more aggressively to counter the initial slide.,Installing high-performance summer tires for better road contact.,Honking the horn continuously to alert all surrounding traffic.
