video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q1_ans_wrong3,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q2_ans_wrong3,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q3_ans_wrong3,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q4_ans_wrong3,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q5_ans_wrong3,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2,q6_ans_wrong3
414,"Based on the video, what were the environmental conditions at the time of the incident?",Weather & Light,"It was a clear, sunny day with good visibility.",,,,Which feature of the surrounding traffic environment was a major contributing factor to this accident?,Traffic Environment,"Vehicles parked along the right side of the road, creating a significant blind spot.",,,,What is the configuration of the road where the collision occurred?,Road Configuration,A multi-lane urban road with no marked crosswalk at the point of impact.,,,,Which term best describes the type of collision shown?,Accident Type,A collision caused by an oncoming vehicle losing control and swerving into the ego vehicle's lane.,,,,What was the primary and most direct cause of this accident?,Accident Cause,The red car in the oncoming lane lost control and swerved into the ego vehicle's path.,,,,Which action by the pedestrian would have been the most effective measure to prevent this collision?,Accident Prevention,The driver of the red car should have maintained proper control and driven at a safe speed.,,,
416,"Based on the video, what are the weather and lighting conditions during the incident?",Weather & Light,"It is a clear, sunny day with dry road surfaces and good visibility.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"An urban main road with street signs and billboards, as well as municipal buildings",,,,What is the road configuration at the scene of the accident?,Road Configuration,"A busy,straight, multi-lane, two-way main road divided by white solid lines,",,,,What type of accident occurs in the video?,Accident Type,Continuous scraping between the vehicle and the vehicle in the left lane,,,,What is the primary action that led directly to this collision?,Accident Cause,The ego-vehicle driver was out of control and failed to brake in an excessive speed.,,,,What crucial safety principle should have been followed to prevent this accident?,Accident Prevention,The ego-car uses emergency braking while controlling the direction and slows down on urban roads.,,,
426,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daytime conditions with good visibility and a dry road.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,"A clearly marked pedestrian crosswalk on a multi-lane Scenic area roads, with lawns and vegetation",,,,What is the configuration of the road in the direction of the camera vehicle's travel?,Road Configuration,"At least two lanes, with the striking car in the oppsing lane and the camera car in the right.",,,,What type of accident is depicted in the video?,Accident Type,A vehicle-pedestrian collision at a marked crosswalk.,,,,What was the primary cause of this accident?,Accident Cause,The driver of the black car failed to yield the right-of-way to pedestrians in a marked crosswalk.,,,,How could the traffic accident participants have most effectively prevented this collision?,Accident Prevention,"The oncoming black car scanns the road ahead, identifies the pedestrians in the crosswalk, and stops to yield.",,,
427,"Based on the video, what are the environmental conditions at the time of the incident?",Weather & Light,Daylight with clear skies and good visibility.,,,,Which of the following accurately describes the traffic environment shown in the video just before the collision?,Traffic Environment,The scene is a busy urban intersection.,,,,What is the configuration of the intersection where the accident occurs?,Road Configuration,"A busy, signalized intersection with other vehicles, a trolleybus, and pedestrian crossing signs.",,,,How can the collision between the ego-vehicle and the dark SUV be classified?,Accident Type,"A T-bone (or side-impact) collision, where the front of the ego-vehicle struck the side of the SUV.",,,,What was the primary cause of this accident?,Accident Cause,The dark SUV speeded through the intersection and left the original lane.,,,,What critical action by the driver of the dark SUV could have most effectively prevented this collision?,Accident Prevention,The dark SUV observes carefully when passing through intersections to avoid fatigue driving and distraction.,,,
432,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,"Clear skies and bright daylight, with a dry road surface.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"Highway in a rural area, with billboard on the roadside.",,,,What is the road configuration at the location of the collision?,Road Configuration,"A wide, downhill multi-lane highway with at least three lanes travelling in the same direction, separated by clear lane markings.",,,,What type of collision sequence is depicted in the video?,Accident Type,Side collision and rear-end collision caused by an out-of-control silver vehicle,,,,What was the primary action that initiated this multi-vehicle accident?,Accident Cause,"The car in front braked suddenly, and the silver Honda subconsciously turned left to avoid the car, causing it to lose control and sway from side to side.",,,,Which action by the driver have most effectively prevented this accident?,Accident Prevention,The silver car in front maintains a steady speed and avoids sudden braking.,,,
440,"Based on the video, what were the environmental and road conditions at the time of the incident?",Weather & Light,"Clear, sunny daylight with a dry road surface.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A multi-lane highway in a suburban area, with an overpass passing above.",,,,What is the configuration of the road where the collision occurs?,Road Configuration,A busy one-way highway with at least three lanes for traffic moving in the same direction.,,,,What is the specific type of collision that initiates the accident?,Accident Type,"No collision, the vehicle ahead has a flat fell off.",,,,What was the primary contributing factor leading to this collision?,Accident Cause,A mechanical failure of the front pickup truck.,,,,How could the driver have most effectively prevented this accident?,Accident Prevention,The former pickup track's driver checks for mechanical failures before going on the road and avoids long driving times,,,
462,"Based on the visual information in the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,The incident took place during dusk with clear weather and general visibility.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,The scene is an intersection on a multi-lane suburban wide road.,,,,What was the road configuration and traffic control situation for the ego-vehicle just before the crash?,Road Configuration,The ego-vehicle was traveling straight through a signalized intersection on a yelloe light.,,,,How can the type of collision shown in the video be most accurately classified?,Accident Type,"A T-bone (or side-impact) collision, where the front of one vehicle struck the side of another.",,,,What was the primary and most direct cause of this accident?,Accident Cause,"The white minivan made an unprotected left turn, failing to yield the right-of-way to the oncoming ego-vehicle.",,,,What critical action should the driver taken to prevent this collision?,Accident Prevention,The driver of the white minivan should have yielded to oncoming traffic and waited for a safe gap before making the turn.,,,
464,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daylight with dry road conditions.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban downtown area with multi-story buildings.,,,,What is the configuration of the road at the accident location?,Road Configuration,"A narrow, one-way, multi-lane paved road with a slight curve.",,,,What type of accident is depicted in the video?,Accident Type,A side-impact collision where the motorcycle strikes the car in front.,,,,What was the primary contributing factor to this collision?,Accident Cause,"The motorcycle was speeding in the intersection, leaving insufficient reaction time.",,,,What key action could have most effectively prevented this accident?,Accident Prevention,The motorcycle should slow down when turning and passing through intersections.,,,
465,"Based on the video, what were the prevailing weather and lighting conditions when the incident occurred?",Weather & Light,The incident occurred during daylight hours with overcast skies and a dry road surface.,,,,Which of the following best describes the traffic environment where the collision took place?,Traffic Environment,"On an urban multi-lane thoroughfare with moderate traffic, approaching a signalized intersection.",,,,What is the configuration of the road where the accident happened?,Road Configuration,"A straight, paved road with at least three lanes for traffic moving in the same direction.",,,,What type of collision is shown in the video?,Accident Type,A rear-end collision where the ego vehicle struck the vehicle ahead due to insufficient following distance.,,,,What was the primary and most direct cause of this accident?,Accident Cause,"The ego vehicle was following too closely and failed to maintain a safe following distance, causing a rear-end collision.",,,,Which action by the driver of the dark sedan would have been most effective in preventing this collision?,Accident Prevention,"The ego vehicle driver should have maintained a proper following distance from the vehicle ahead, allowing enough space to brake safely.",,,
466,"Based on the visual evidence, what were the weather and lighting conditions at the time of the accident?",Weather & Light,"Daytime with wet road conditions, likely after rain.",,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A signalized intersection on a multi-lane urban thoroughfare.,,,,What is the configuration of the road at the location of the incident?,Road Configuration,"A cross-intersection controlled by traffic signals, with a central divider separating opposing lanes.",,,,What type of collision occurred between the white SUV and the gold sedan?,Accident Type,"A side-impact (T-bone) collision, where the front of one vehicle strikes the side of another.",,,,What was the primary cause of this accident?,Accident Cause,The gold sedan failed to yield the right-of-way to oncoming traffic while turning left.,,,,How could this collision have most effectively been prevented?,Accident Prevention,The driver of the gold car should have waited for a clear and safe gap in oncoming traffic before starting the left turn.,,,
469,"Based on the video, what are the environmental conditions at the time of the incident?",Weather & Light,"Daytime, with clear skies and bright sunlight.",,,,Which of the following best describes the environment where the accident occurs?,Traffic Environment,"A multi-lane urban main road with moderate, free-flowing traffic.",,,,What is the configuration of the road where the collision occurs?,Road Configuration,"A straight, multi-lane road with a wide median and a side road joining from the right.",,,,How would you classify the type of accident that occurs in the video?,Accident Type,A head-on collision from the recording car and the car abruptly cutting from the right side road.,,,,"What was the primary and direct cause of this accident, based on traffic rules?",Accident Cause,The trailer detached from its towing vehicle due to a mechanical failure or improper connection.,,,,Which of the following actions could have most effectively prevented the injury?,Accident Prevention,he driver of the towing vehicle conducting a thorough pre-trip inspection to ensure the trailer hitch is securely locked and safety chains are attached.,,,
474,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Clear weather with good visibility during dawn or dusk.,,,,How would you best describe the traffic environment shown in the video?,Traffic Environment,A suburban highway.,,,,What is the configuration of the road where the incident occurs?,Road Configuration,"Heavy but continuously flowing traffic on a multi-lane, straight urban highway with clear lane markings.",,,,What type of collision is about to occur in the video?,Accident Type,"Rollover caused by a side impact, the white car cut in, and struck the right behind side of the front black vehicle then rollover.",,,,What is the primary and most direct action that leads to this collision?,Accident Cause,The white vehicle made an agressive and sudden lane change without proper observation.,,,,What single action would have been most effective in preventing this accident?,Accident Prevention,The white vehicle thoroughly checks mirrors and the vehicle's blind spot before changing lanes.,,,
475,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with cloudy skies and a dry road surface.,,,,How would you describe the traffic environment shown in the video just before the collision?,Traffic Environment,A multi-lane highway with moderate traffic flow and relatively high speeds.,,,,What is the configuration of the road where the incident occurred?,Road Configuration,A multi-lane highway with solid and dashed white lane markings.,,,,What type of collision initiated the accident sequence?,Accident Type,A chain rear-end collision where the ego vehicle struck the vehicle ahead due to excessive speed and insufficient following distance.,,,,What was the primary cause of the initial collision between the gray SUV and the white convertible?,Accident Cause,"The ego vehicle was following too closely and driving too fast, failing to maintain a safe distance.",,,,How could the driver of the gray SUV have most effectively prevented this accident?,Accident Prevention,By maintaining a safe following distance and appropriate speed on the highway.,,,
487,"Based on the visual evidence in the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"Daytime with clear skies and bright sunlight, providing excellent visibility.",,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A rural highway surrounded by trees and vegetation.,,,,How is the intersection where the accident happened configured?,Road Configuration,"A Simple structure, narrow intersection with four ways, two lanes each way.",,,,What specific type of collision is depicted in the video?,Accident Type,"A side-impact (T-bone) collision, where the front of the ego-car hit the side of the MPV.",,,,What was the primary and most direct cause of this collision?,Accident Cause,"he white MPV failed to yield the right-of-way to the oncoming motorcycle, which had a green light.",,,,Which of the following actions by the participants would have been the most effective measure to prevent this accident?,Accident Prevention,The white MPV remains stopped and waits for the motorcycle to pass before entering the intersection.,,,
490,"Based on the video, what were the weather and lighting conditions at the time of the collision?",Weather & Light,"Daytime, with clear skies and good visibility.",,,,Which of the following best describes the environment where the accident took place?,Traffic Environment,A suburban or main arterial road with trees and properties alongside.,,,,What is the configuration of the road where the incident occurred?,Road Configuration,"A multi-lane, two-way road separated by a double yellow line.",,,,How would you classify the type of collision shown in the video?,Accident Type,A rear-end collision followed by a loss-of-control swerve into the oncoming lane.,,,,What was the primary and most direct cause of this accident?,Accident Cause,"The ego vehicle failed to maintain a safe following distance, causing a rear-end collision, then swerved into the oncoming lane.",,,,Which of the following actions by the silver sedan's driver would have been most critical in preventing this collision?,Accident Prevention,Maintaining a safe following distance from the vehicle ahead and driving at a speed that allows adequate braking.,,,
491,"Based on the visual evidence in the video, what were the prevailing weather and road conditions?",Weather & Light,"Overcast daytime, general lighting conditions with wet road surfaces.",,,,Which of the following best describes the traffic environment where the incident occurred?,Traffic Environment,A multi-lane urban expressway with vehicles traveling at high speed.,,,,What is the configuration of the road shown in the video?,Road Configuration,"A one-way road with multiple lanes, separated from the opposite lane by the central median strip.",,,,What type of collision is recorded by the dashcam?,Accident Type,A sideswipe collision with a vehicle in the adjacent lane.,,,,What was the primary factor that led to the crash?,Accident Cause,The SUV that changed lanes made direct contact with the dashcam vehicle.,,,,Which action by the drivers would have most effectively prevented this collision?,Accident Prevention,The light-colored car should maintain a greater following distance from the white car ahead.,,,
524,"Based on the video, what are the environmental conditions at the time of the incident?",Weather & Light,"Daytime and overcast, with a wet road surface covered in snow and slush.",,,,What key feature of the traffic environment is noticable in the video?,Traffic Environment,At a multi-lane urban intersection with other vehicles present.,,,,What is the physical layout of the location where the collision occurs?,Road Configuration,"A?multi-lane intersection without traffic lights, where vehicles can proceed straight or make turns.",,,,Which statement best describes the type of collision that occurs?,Accident Type,A sideswipe collision occurred while two cars rushed into the intersection trying to avoid each other ,,,,What caused the  incident?,Accident Cause,"The white SUV was in the blind spot of the dark sedan, causing a sudden crash",,,,What action by the driver of the at-fault vehicle could have most effectively prevented this collision?,Accident Prevention,Both vehicle should significantly reducing speed before entering the intersection to maintain grip on the slippery surface.,,,
529,"Based on the video, what are the weather and road conditions at the time of the incident?",Weather & Light,Overcast sky during the daytime with wet road surfaces.,,,,Which of the following best describes the environment where the accident occurred?,Traffic Environment,An urban multi-lane main road with commercial buildings and overhead trolleybus wires.,,,,What is the configuration of the road on which the ego vehicle is traveling?,Road Configuration,A multi-lane road with at least two lanes for traffic moving in the same direction.,,,,How would you classify the type of collision shown in the video?,Accident Type,A side-impact collision where the ego vehicle's front struck the side of the white van.,,,,What was the primary and most direct cause of this accident?,Accident Cause,"The white van made a sudden, unsignaled sharp turn to the right from an adjacent lane, directly into the ego vehicle's path.",,,,What critical action by the van driver could have most likely prevented this collision?,Accident Prevention,"The van driver should have checked their mirrors and blind spot, and used their turn signal before initiating the maneuver.",,,
572,"Based on the video, what are the weather and light conditions at the time of the incident?",Weather & Light,"It is daytime with clear, sunny/partly cloudy skies and a dry road surface.",,,,Which of the following best describes the traffic environment where the collision takes place?,Traffic Environment,An urban multi-lane main road flanked by large apartment buildings with moderate traffic flow.,,,,What is the configuration of the road shown in the video?,Road Configuration,A multi-lane road with a central green median separating opposing lanes of traffic.,,,,What type of accident is depicted in the video?,Accident Type,A failure-to-yield collision where a vehicle turning from a side road merged without waiting for main road traffic.,,,,What was the primary and direct cause of this collision?,Accident Cause,The silver car turned to merge into the main road from a side road without yielding to vehicles already on the main road.,,,,How could this accident have been most effectively prevented?,Accident Prevention,"The silver car driver should have stopped at the junction, checked for traffic, and waited for a safe gap before merging.",,,
578,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daytime conditions with a dry road surface.,,,,Which statement best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane highway with moderate traffic moving at a relatively high speed.,,,,What specific road feature is the primary location where the incident unfolds?,Road Configuration,An exit ramp diverging from the main travel lanes.,,,,What type of collision ultimately occurred involving the dashcam vehicle?,Accident Type,"A single-vehicle, run-off-road collision with a fixed object.",,,,What was the primary action that initiated the chain of events leading to the crash?,Accident Cause,The ego vehicle was traveling at excessive speed and failed to maintain a proper following distance.,,,,What is the most critical preventative measure the driver of the dark hatchback should have taken to avoid this incident?,Accident Prevention,The ego vehicle driver should have reduced speed and maintained a safe following distance.,,,
580,"Based on the video, what are the prevailing weather and light conditions at the time of the accident?",Weather & Light,Daytime with cloudy/overcast skies and a dry road surface.,,,,Which of the following best characterizes the traffic environment shown in the video?,Traffic Environment,An urban multi-lane main road with moderate traffic flow.,,,,What is the configuration and condition of the road surface visible in the video?,Road Configuration,An unsiganized intersection with traffic merging from the road in the left,,,,What type of accident is depicted in the video?,Accident Type,A head-on collision after an oncoming vehicle lost control and crossed the centerline.,,,,What was the direct and primary cause of this accident?,Accident Cause,The dark car driver made an incorrect evasive maneuver by swerving into the oncoming lane.,,,,How could the driver have most effectively prevented this accident?,Accident Prevention,The dark car should maintain a safe following distance and apply emergency brakes in a straight line within their lane.,,,
595,"Based on the video, what are the environmental conditions during the accident?",Weather & Light,Daytime with cloudy or overcast skies and a dry road surface.,,,,Which of the following best describes the traffic environment when the collision occurred?,Traffic Environment,"Moderate, free-flowing traffic on a multi-lane highway, in rural area.",,,,What is the physical layout of the road where the accident happened?,Road Configuration,A curved one-way highway with at least three lanes and a central concrete barrier.,,,,What type of collision is depicted in the video?,Accident Type,A sideswipe collision caused by the white SUV changing into an occupied lane.,,,,What was the primary initiating cause of this accident?,Accident Cause,The driver of the white SUV failed to ensure the adjacent lane was clear before initiating a lane change.,,,,What crucial action could have taken to prevent this accident?,Accident Prevention,"The white SUV should thoroughly check their mirrors and blind spot to confirm the adjacent lane was clear.
",,,
600,What were the primary weather and lighting conditions that posed a significant hazard at the time of the accident?,Weather & Light,"Daytime with overcast skies and light rain, resulting in a wet and reflective road surface.",,,,Which description accurately represents the traffic environment visible in the video?,Traffic Environment,"A busy, multi-lane suburban arterial road or expressway with moderate traffic flow.",,,,What is the configuration of the intersection as the ego-vehicle approaches it?,Road Configuration,"A multi-lane roadway with at least three lanes for the same direction of travel, a clear line marking the median.",,,,What is the final type of collision that occurs in the video?,Accident Type,A series of T-bone collisions resulting from an aggressive and improper lane change by the dark car in the opposite.,,,,What was the primary trigger for the chain of events leading to the collision?,Accident Cause,"The driver of the black car made an unexpected and sudden turning to the left, cutting off the traffic.",,,,What action could have most effectively prevented this collision?,Accident Prevention,,,,
611,"Based on the visual evidence, what are the weather and lighting conditions at the time of the incident?",Weather & Light,"Daytime with overcast skies and light rain, resulting in a wet and reflective road surface.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A busy, multi-lane urban arterial road or expressway with moderate to heavy traffic flow.",,,,What is the configuration of the road in the direction of travel?,Road Configuration,A multi-lane roadway with at least three lanes for the same direction of travel.,,,,What type of collision occurs between the white SUV and the black sedan?,Accident Type,A collision caused by the white SUV making an improper turn across the ego vehicle's lane.,,,,What is the primary and direct cause of this accident?,Accident Cause,The driver of the white SUV made a sudden turn across multiple lanes without yielding to through traffic.,,,,Which action by the driver of the white SUV would have been most effective in preventing this crash?,Accident Prevention,The white SUV driver should have checked for through traffic and waited for a safe gap before executing the turn.,,,
614,"Based on the video, what are the prevailing weather and light conditions?",Weather & Light,Daytime with overcast skies and good visibility.,,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,An urban area with commercial buildings and moderate traffic.,,,,What is the configuration of the road where the collision occurs?,Road Configuration,A multi-lane road with tram tracks running down the middle.,,,,What type of accident is depicted in the video?,Accident Type,A sideswipe collision caused by an improper lane change.,,,,What was the primary cause of this accident?,Accident Cause,The white SUV made a sudden and unsafe lane change without checking for other vehicles.,,,,How could the driver of the white SUV have most effectively prevented this collision?,Accident Prevention,"By checking mirrors and blind spots, signaling, and ensuring the lane was clear before merging.",,,
617,"Based on the video, what are the prevailing weather and light conditions?",Weather & Light,"Daytime, overcast sky, with significant snow and ice on the ground.",,,,Which statement best describes the traffic environment just before the white SUV loses control?,Traffic Environment,Light to moderate traffic with a row of stationary vehicles parked on the right shoulder.,,,,What is the configuration of the road where the accident occurs?,Road Configuration,A multi-lane highway with at least three lanes in the same direction.,,,,What type of accident does the white SUV experience?,Accident Type,Loss of control followed by a side-impact collision with a parked vehicle.,,,,"Based on the vehicle's dynamics and the environment, what is the most likely primary cause of this accident?",Accident Cause,Driving at a speed unsafe for the icy and snowy road conditions.,,,,What would have been the most effective measure for the driver of the white SUV to prevent this crash?,Accident Prevention,Significantly reducing speed to match the slippery road conditions.,,,
618,"Based on the visual evidence, which statement best describes the weather and lighting conditions at the time of the incident?",Weather & Light,"A) It is daytime with overcast skies and diffuse lighting, with snow covering the ground and roads appearing wet or icy.",,,,What type of traffic environment is depicted in the video where the collision occurs?,Traffic Environment,"A) An urban area with multi-story buildings, roadside trees, and marked pedestrian crosswalks.",,,,How can the road and intersection where the accident happens be best described?,Road Configuration,"A) An unsignalized intersection on a multi-lane, two-way urban street.",,,,What is the specific classification of the collision shown in the video?,Accident Type,"A) A side-impact (T-bone) collision, as the front of the ego-vehicle hits the side of the turning SUV.",,,,What was the primary and most direct cause of this collision?,Accident Cause,"Both vehicles were traveling straight through an unsignalized intersection, and the at-fault vehicle failed to yield to the vehicle that arrived first.",,,,Which of the following actions by the driver of the black SUV would have been the most effective measure to prevent this accident?,Accident Prevention,Yielding the right-of-way to the vehicle that arrived at the intersection first.,,,
627,"Based on the video, what are the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,Nighttime with wet road surfaces and clear visibility from streetlights.,,,,Which of the following best describes the traffic environment where the collision takes place?,Traffic Environment,"A multi-lane, signalized urban intersection.",,,,What is the road configuration at the point where the dark SUV begins its maneuver?,Road Configuration,"The SUV starts its turn from a right-side lane, attempting to cut across multiple lanes of through traffic.",,,,How can the collision shown in the video be classified based on the vehicles' initial impact?,Accident Type,A side-impact (T-bone) collision caused by a vehicle turning across the path of another.,,,,What was the primary and most direct cause of this accident?,Accident Cause,"The black car ran a red light at the intersection, colliding with the through traffic.",,,,What is the most crucial action that would have prevented this collision from occurring?,Accident Prevention,The black car driver should have obeyed the red traffic light and stopped at the intersection.,,,
633,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with clear visibility and a dry road surface.,,,,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,A signalized intersection with clear lane markings in a suburban or semi-rural area.,,,,What is the configuration of the road where the collision happens?,Road Configuration,A four-way intersection controlled by traffic lights.,,,,What type of collision is depicted in the video?,Accident Type,A side-impact collision where a motorcycle proceeding straight crashes into the side of a left-turning SUV.,,,,What was the primary human error that led to this collision?,Accident Cause,The SUV driver failed to yield the right-of-way to oncoming traffic before making a left turn.,,,,What is the most crucial action the SUV driver should have taken to prevent this crash?,Accident Prevention,Wait for the oncoming motorcycle to pass through the intersection before starting the left turn.,,,
639,"Based on the visual evidence, what are the weather and lighting conditions at the time of the incident?",Weather & Light,"Daytime, overcast, with significant snow on the ground and wet road surfaces.",,,,What type of traffic environment is depicted where the collision occurs?,Traffic Environment,An urban intersection controlled by traffic signals.,,,,Which statement accurately describes the road configuration and the ego vehicle's path just before the crash?,Road Configuration,The ego vehicle is proceeding straight through a multi-lane intersection.,,,,What is the specific type of collision shown in the video?,Accident Type,"A side-impact (T-bone) collision, where the front of the ego vehicle hits the side of the other car.",,,,What was the primary and most direct cause of this accident?,Accident Cause,The vehicle made a U-turn at the intersection without yielding to straight-going traffic.,,,,What single action by one of the drivers would have most definitively prevented this collision?,Accident Prevention,The driver should have yielded to all straight-going traffic before making the U-turn.,,,
655,"Based on the visual evidence in the video, what are the prevailing weather and lighting conditions?",Weather & Light,Daytime with overcast skies and snow present on the roadsides.,,,,Which of the following best describes the traffic environment where the accident occurs?,Traffic Environment,A commercial or suburban area with businesses like a gas station and auto repair shop visible.,,,,What is the configuration of the roadway where the collision takes place?,Road Configuration,"A multi-lane, signalized intersection on a straight, flat road.",,,,What type of collision occurs between the white SUV and the white pickup truck?,Accident Type,"A T-bone (side-impact) collision, where the pickup's front strikes the SUV's side.",,,,What was the primary and most direct cause of this accident?,Accident Cause,The white SUV failed to yield the right-of-way to the oncoming pickup truck while attempting a left turn.,,,,What single action by the driver of the white SUV would have most effectively prevented this collision?,Accident Prevention,Waiting in the intersection until the oncoming pickup truck had passed before completing the turn.,,,
691,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with cloudy skies and snowy/wet road conditions.,,,,Which of the following best describes the traffic environment seen in the video?,Traffic Environment,"A road with snow piled up on the sides, potentially affecting visibility and space.",,,,What is the configuration of the road where the accident takes place?,Road Configuration,"A two-way road, with one lane for each direction of travel.",,,,How can the type of collision shown in the video be best described?,Accident Type,A side-impact (T-bone) collision where the front of one vehicle struck the side of the other.,,,,What was the primary human-related cause of this collision?,Accident Cause,"The white truck was reversing (backing up) at the intersection, creating a dangerous obstruction.",,,,What key action by the driver of the white van could have most likely prevented this accident?,Accident Prevention,"The white truck driver should not have reversed at the intersection, and instead found a safe place to maneuver.",,,
692,"Based on the video, what were the weather and lighting conditions when the accident occurred?",Weather & Light,"It was a clear, sunny day with good visibility.",,,,What type of traffic environment is depicted in the video just before the crash?,Traffic Environment,An urban or suburban multi-lane main road with modern buildings.,,,,What is the configuration of the location where the collision takes place?,Road Configuration,A signalized intersection on a multi-lane road.,,,,What type of collision occurs in the video?,Accident Type,A collision caused by a vehicle swerving into the oncoming lane to avoid the braking vehicle ahead.,,,,What was the primary and direct cause of this accident?,Accident Cause,"The vehicle was traveling too fast, and when the front car braked, it couldn't stop in time and swerved into the oncoming lane.",,,,What action by the driver of the turning car could have most effectively prevented this accident?,Accident Prevention,"The driver should have maintained a safe speed and following distance, allowing adequate braking room.",,,
695,What were the weather and lighting conditions at the time of the accident?,Weather & Light,A. Daytime with clear and sunny conditions.,,,,Which of the following best describes the traffic environment where the collision took place?,Traffic Environment,C. On a multi-lane urban road adjacent to a residential area.,,,,What is the road configuration at the location of the accident?,Road Configuration,"D. A straight, multi-lane road with an entrance on the right side, where the car turned from the through lane.",,,,"Based on the video, how would you classify this accident?",Accident Type,A vehicle-pedestrian collision where a motorcycle struck a pedestrian after turning into a side road.,,,,What was the primary cause of this accident?,Accident Cause,A. The motorcyclist failed to slow down after turning into the side road and struck a pedestrian.,,,,What is the most critical action the driver of the gray car could have taken to prevent this accident?,Accident Prevention,A. The motorcyclist should have reduced speed significantly when turning into the side road and watched for pedestrians.,,,
699,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with clear skies and good visibility.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A busy urban arterial road with multiple lanes and mixed traffic.,,,,What is the configuration of the road section where the accident takes place?,Road Configuration,"A straight, multi-lane paved road with clear lane markings.",,,,What type of collision is depicted in the video?,Accident Type,A collision in a roundabout where two vehicles traveling side-by-side had insufficient space and struck a vehicle on the main road.,,,,What was the primary critical error that led to this accident?,Accident Cause,"The ego vehicle and the blue car were traveling side by side in the roundabout, creating insufficient space and colliding with the silver vehicle on the main road.",,,,Which action by the driver of the silver SUV would have most likely prevented this collision?,Accident Prevention,"The ego vehicle should have avoided traveling side-by-side with the blue car in the roundabout, maintaining proper spacing.",,,
715,"Based on the video, what are the prevailing weather and road surface conditions?",Weather & Light,"C. Daytime during a snowstorm, with the road surface covered in snow and ice.",,,,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,B. An urban street with commercial buildings and snow-covered cars parked along both sides.,,,,What is the configuration of the road on which the incident takes place?,Road Configuration,"C. A one-way road with at least two lanes, where lane markings are partially obscured by snow.",,,,How can the collision shown in the video be most accurately classified?,Accident Type,"D. A side-impact (broadside) collision, where the side of the skidding SUV struck the front of the dashcam vehicle.",,,,What was the primary factor that caused the black SUV to lose control?,Accident Cause,"A. The driver of the dashcam vehicle made an unsafe lane change in front of the SUV, and made an unsafe lane change under dangerous conditions.",,,,Which action by the driver of the black SUV would have been most effective in preventing this accident?,Accident Prevention,C. Significantly reducing speed to maintain traction and control on the snow-covered road.,,,
722,"Based on the video, what are the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,"Overcast daylight with wet, reflective road surfaces from recent rain.",,,,"""Which of the following best describes the environment where the accident takes place?",Traffic Environment,A signalized multi-lane intersection in a suburban or wooded area.,,,,What is the configuration and condition of the road surface visible in the video?,Road Configuration,A one-way alley joining a four-way intersection controlled by traffic signals.,,,,What type of accident is depicted in the video?,Accident Type,A T-bone (side-impact) collision at an intersection.,,,,What caused the  incident?,Accident Cause,"The signal was failed, leaving the intersection of of control.",,,,Which action by one of the drivers would have been the most effective measure to prevent this collision?,Accident Prevention,Both vehicle should significantly reducing speed before entering the intersection to maintain grip on the slippery surface.,,,
